"Gene","Protein","Protein names","UniProt Localization","HPA Localization","OpenCell Localization","SimChrom Category","SimChrom-SL Category","MS-based studies","Abundance, ppm","PFAM"
"undefinedTAF7","Q15545","Transcription initiation factor TFIID subunit 7","Nucleus (ECO:0000250)","Golgi apparatus (Approved), Nucleoplasm (Approved)","null","Histone PTM readers, DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Alabert et al., 2014; Kustatscher et al., 2014","12.4","TAFII55_N(TAFII55 protein conserved region,PF04658)"
"undefinedTAF7L","Q5H9L4","Transcription initiation factor TFIID subunit 7-like","Cytoplasm (ECO:0000250), Nucleus (ECO:0000250)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","null","0.253","TAFII55_N(TAFII55 protein conserved region,PF04658)"
"undefinedTAF8","Q7Z7C8","Transcription initiation factor TFIID subunit 8","Cytoplasm (ECO:0000250), Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Kustatscher et al., 2014; Shi et al., 2021","3.11","Bromo_TP(Bromodomain associated,PF07524);TAF8_C(Transcription factor TFIID complex subunit 8 C-term ,PF10406)"
"undefinedTAF9","Q16594","Transcription initiation factor TFIID subunit 9","Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","Histone modification, DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Ugur et al., 2023","8.04","TFIID-31kDa(Transcription initiation factor IID, 31kD subunit,PF02291)"
"undefinedTAF9B","Q9HBM6","Transcription initiation factor TFIID subunit 9B","Nucleus (ECO:0000250)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Alabert et al., 2014; Itzhak et al., 2016","7.4","TFIID-31kDa(Transcription initiation factor IID, 31kD subunit,PF02291)"
"undefinedTAL1","P17542","T-cell acute lymphocytic leukemia protein 1","Nucleus (ECO:0000255)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Shi et al., 2021","1.92","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedTAL2","Q16559","T-cell acute lymphocytic leukemia protein 2","null","Cytosol (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedTBP","P20226","TATA-box-binding protein","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","nuclear_punctae (annotations_grade_2), nucleoplasm (annotations_grade_3)","DNA-templated transcription, Regulation of transcription, General TFs, Euchromatin-associated","General TFs","Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011","6.67","TBP(Transcription factor TFIID (or TATA-binding protein, TBP),PF00352);TBP(Transcription factor TFIID (or TATA-binding protein, TBP),PF00352)"
"undefinedTBPL1","P62380","TATA box-binding protein-like 1","Cytoplasm (ECO:0000250), Nucleus (ECO:0000250)","Nucleoli (Approved), Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Alabert et al., 2014; Kustatscher et al., 2014; Shi et al., 2021","6.56","TBP(Transcription factor TFIID (or TATA-binding protein, TBP),PF00352);TBP(Transcription factor TFIID (or TATA-binding protein, TBP),PF00352)"
"undefinedTBR1","Q16650","T-box brain protein 1","Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.073","T-box(T-box,PF00907);T-box_assoc(T-box transcription factor-associated,PF16176)"
"undefinedTBX1","O43435","T-box transcription factor TBX1","Nucleus (ECO:0000255)","Cytoplasmic bodies (Approved), Nuclear bodies (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Kustatscher et al., 2014","0.807","T-box(T-box,PF00907)"
"undefinedTBX10","O75333","T-box transcription factor TBX10","Nucleus (ECO:0000255)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.007","T-box(T-box,PF00907)"
"undefinedTBX15","Q96SF7","T-box transcription factor TBX15","Nucleus (ECO:0000255)","Centrosome (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.021","T-box(T-box,PF00907)"
"undefinedTBX18","O95935","T-box transcription factor TBX18","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.021","T-box(T-box,PF00907)"
"undefinedTBX19","O60806","T-box transcription factor TBX19","Nucleus (ECO:0000255)","Nuclear speckles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","T-box(T-box,PF00907)"
"undefinedTBX2","Q13207","T-box transcription factor TBX2","Nucleus (ECO:0000269), Nucleus (ECO:0000305)","Cytosol (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","1.82","T-box(T-box,PF00907);TBX(T-box transcription factor,PF12598)"
"undefinedTBX20","Q9UMR3","T-box transcription factor TBX20","Nucleus (ECO:0000255)","Nucleoli fibrillar center (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.06","T-box(T-box,PF00907)"
"undefinedTBX21","Q9UL17","T-box transcription factor TBX21","Nucleus (ECO:0000269)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.707","T-box(T-box,PF00907)"
"undefinedTBX22","Q9Y458","T-box transcription factor TBX22","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","T-box(T-box,PF00907)"
"undefinedTBX3","O15119","T-box transcription factor TBX3","Nucleus (ECO:0000255)","Cytosol (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016","5.74","T-box(T-box,PF00907);TBX(T-box transcription factor,PF12598)"
"undefinedTBX4","P57082","T-box transcription factor TBX4","Nucleus (ECO:0000255)","Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.009","T-box(T-box,PF00907)"
"undefinedTBX5","Q99593","T-box transcription factor TBX5","Cytoplasm (ECO:0000269), Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.02","T-box(T-box,PF00907)"
"undefinedTBX6","O95947","T-box transcription factor TBX6","Nucleus (ECO:0000255)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","T-box(T-box,PF00907)"
"undefinedTBXT","O15178","T-box transcription factor T","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","T-box(T-box,PF00907)"
"undefinedTCEA1","P23193","Transcription elongation factor A protein 1","null","Nucleoli (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Alabert et al., 2014; Ginno et al., 2018; Kustatscher et al., 2014; Shi et al., 2021","128","Med26(TFIIS helical bundle-like domain,PF08711);TFIIS_M(Transcription factor S-II (TFIIS), central domain,PF07500);TFIIS_C(Transcription factor S-II (TFIIS),PF01096)"
"undefinedTCF12","Q99081","Transcription factor 12","null","Nuclear speckles (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Kustatscher et al., 2014; Shi et al., 2021; Ugur et al., 2023","4.44","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedTCF15","Q12870","Transcription factor 15","Nucleus (ECO:0000250), Nucleus (ECO:0000255)","Nuclear speckles (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedTCF21","O43680","Transcription factor 21","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.048","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedTCF23","Q7RTU1","Transcription factor 23","Nucleus (ECO:0000255)","Nuclear speckles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, Euchromatin-associated","Non-Housekeeping DNA-binding TFs","null","0.016","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedTCF24","Q7RTU0","Transcription factor 24","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedTCF3","P15923","Transcription factor E2-alpha","Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Euchromatin-associated","Housekeeping DNA-binding TFs","Ugur et al., 2023","3.74","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedTCF4","P15884","Transcription factor 4","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Cytosol (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Ugur et al., 2023","null","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedTCF7","P36402","Transcription factor 7","null","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, HMG, Other families with HMG-box domain","Other families with HMG-box domain","null","1.46","CTNNB1_binding(N-terminal CTNNB1 binding,PF08347);HMG_box(HMG (high mobility group) box,PF00505)"
"undefinedTCF7L1","Q9HCS4","Transcription factor 7-like 1","null","Cytosol (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, HMG, Other families with HMG-box domain","Other families with HMG-box domain","null","0.379","CTNNB1_binding(N-terminal CTNNB1 binding,PF08347);HMG_box(HMG (high mobility group) box,PF00505)"
"undefinedTCF7L2","Q9NQB0","Transcription factor 7-like 2","Nucleus (ECO:0000269), PML body (ECO:0000269)","Nuclear bodies (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, HMG, Other families with HMG-box domain","Other families with HMG-box domain","Itzhak et al., 2016; Kustatscher et al., 2014; Ugur et al., 2023","2.695","CTNNB1_binding(N-terminal CTNNB1 binding,PF08347);HMG_box(HMG (high mobility group) box,PF00505)"
"undefinedTCFL5","Q9UL49","Transcription factor-like 5 protein","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.064","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedTEAD1","P28347","Transcriptional enhancer factor TEF-1","null","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016; Kustatscher et al., 2014","2.02","TEA(TEA/ATTS domain,PF01285);YBD(YAP binding domain,PF17725)"
"undefinedTEAD2","Q15562","Transcriptional enhancer factor TEF-4","null","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Kustatscher et al., 2014","1.22","TEA(TEA/ATTS domain,PF01285);YBD(YAP binding domain,PF17725)"
"undefinedTEAD3","Q99594","Transcriptional enhancer factor TEF-5","null","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Alabert et al., 2014; Ginno et al., 2018; Itzhak et al., 2016","3.52","TEA(TEA/ATTS domain,PF01285);YBD(YAP binding domain,PF17725)"
"undefinedTEAD4","Q15561","Transcriptional enhancer factor TEF-3","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Torrente et al., 2011","0.584","TEA(TEA/ATTS domain,PF01285);YBD(YAP binding domain,PF17725)"
"undefinedTEF","Q10587","Thyrotroph embryonic factor","null","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.169","null"
"undefinedTFAP2A","P05549","Transcription factor AP-2-alpha","Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Itzhak et al., 2016","9.04","TF_AP-2(Transcription factor AP-2,PF03299)"
"undefinedTFAP2B","Q92481","Transcription factor AP-2-beta","Nucleus (ECO:0000250)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Torrente et al., 2011","4.41","TF_AP-2(Transcription factor AP-2,PF03299)"
"undefinedTFAP2C","Q92754","Transcription factor AP-2 gamma","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016; Kustatscher et al., 2014","9.11","TF_AP-2(Transcription factor AP-2,PF03299)"
"undefinedTFAP2D","Q7Z6R9","Transcription factor AP-2-delta","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Alabert et al., 2014","0.099","TF_AP-2(Transcription factor AP-2,PF03299)"
"undefinedTFAP2E","Q6VUC0","Transcription factor AP-2-epsilon","Nucleus (ECO:0000250)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","2.98","TF_AP-2(Transcription factor AP-2,PF03299)"
"undefinedTFAP4","Q01664","Transcription factor AP-4","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","7.87","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
"undefinedTFCP2","Q12800","Alpha-globin transcription factor CP2","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Ginno et al., 2018","19.8","CP2(CP2 transcription factor,PF04516);SAM_3(SAM domain (Sterile alpha motif),PF18016)"
"undefinedTFCP2L1","Q9NZI6","Transcription factor CP2-like protein 1","Nucleus (ECO:0000269)","Nucleoli fibrillar center (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","1","CP2(CP2 transcription factor,PF04516);SAM_3(SAM domain (Sterile alpha motif),PF18016)"
"undefinedTFDP1","Q14186","Transcription factor Dp-1","Cytoplasm (ECO:0000250), Nucleus (ECO:0000250)","Cytosol (Approved), Nuclear membrane (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Kustatscher et al., 2014","4.34","E2F_TDP(E2F/DP family winged-helix DNA-binding domain,PF02319);DP(Transcription factor DP,PF08781)"
"undefinedTFDP2","Q14188","Transcription factor Dp-2","null","Mitotic spindle (Approved), Nucleoplasm (Supported), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.913","E2F_TDP(E2F/DP family winged-helix DNA-binding domain,PF02319);DP(Transcription factor DP,PF08781)"
"undefinedTFDP3","Q5H9I0","Transcription factor Dp family member 3","null","Cytosol (Supported), Nuclear membrane (Supported), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","E2F_TDP(E2F/DP family winged-helix DNA-binding domain,PF02319);DP(Transcription factor DP,PF08781)"
"undefinedTFE3","P19532","Transcription factor E3","Cytosol (ECO:0000269), Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Ugur et al., 2023","6.21","MITF_TFEB_C_3_N(MITF/TFEB/TFEC/TFE3 N-terminus,PF15951);HLH(Helix-loop-helix DNA-binding domain,PF00010);DUF3371(Domain of unknown function (DUF3371),PF11851)"
"undefinedTFEB","P19484","Transcription factor EB","Cytosol (ECO:0000269), Lysosome membrane (ECO:0000269), Nucleus (ECO:0000269)","Cytosol (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","9.35","MITF_TFEB_C_3_N(MITF/TFEB/TFEC/TFE3 N-terminus,PF15951);HLH(Helix-loop-helix DNA-binding domain,PF00010);DUF3371(Domain of unknown function (DUF3371),PF11851)"
"undefinedTFEC","O14948","Transcription factor EC","Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.321","HLH(Helix-loop-helix DNA-binding domain,PF00010);DUF3371(Domain of unknown function (DUF3371),PF11851)"
"undefinedTGIF1","Q15583","Homeobox protein TGIF1","null","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016","1.05","Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedTGIF2","Q9GZN2","Homeobox protein TGIF2","null","Centrosome (Approved), Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.787","Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedTGIF2LX","Q8IUE1","Homeobox protein TGIF2LX","Nucleus (ECO:0000255)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.778","Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedTGIF2LY","Q8IUE0","Homeobox protein TGIF2LY","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeobox_KN(Homeobox KN domain,PF05920)"
"undefinedTHAP1","Q9NVV9","THAP domain-containing protein 1","Nucleoplasm (ECO:0000269), PML body (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016","0.168","THAP(THAP domain,PF05485)"
"undefinedTHAP11","Q96EK4","THAP domain-containing protein 11","Cytoplasm (ECO:0000250), Nucleus (ECO:0000269)","Cytosol (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Kustatscher et al., 2014","5.85","THAP(THAP domain,PF05485)"
"undefinedTHRA","P10827","Thyroid hormone receptor alpha","Cytoplasm (ECO:0000250), Nucleus (ECO:0000250)","Cytosol (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Nuclear hormone receptors","Nuclear hormone receptors","Itzhak et al., 2016","0.112","zf-C4(Zinc finger, C4 type (two domains),PF00105);Hormone_recep(Ligand-binding domain of nuclear hormone receptor,PF00104)"
"undefinedTHRB","P10828","Thyroid hormone receptor beta","null","Nuclear bodies (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, Nuclear hormone receptors","Nuclear hormone receptors","null","0.082","zf-C4(Zinc finger, C4 type (two domains),PF00105);Hormone_recep(Ligand-binding domain of nuclear hormone receptor,PF00104)"
"undefinedTLX1","P31314","T-cell leukemia homeobox protein 1","Nucleus (ECO:0000305)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedTLX2","O43763","T-cell leukemia homeobox protein 2","Nucleus (ECO:0000305)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","Homeodomain(Homeodomain,PF00046)"
"undefinedTLX3","O43711","T-cell leukemia homeobox protein 3","Nucleus (ECO:0000305)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Alabert et al., 2014; Itzhak et al., 2016","null","Homeodomain(Homeodomain,PF00046)"
"undefinedTP53","P04637","Cellular tumor antigen p53","Centrosome (ECO:0000269), Cytoplasm (ECO:0000269), Endoplasmic reticulum (ECO:0000269), Mitochondrion matrix (ECO:0000269), Nucleus (ECO:0000269), PML body (ECO:0000269)","Cytosol (Supported), Nucleoplasm (Enhanced), Vesicles (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs, Pioneer TFs, DNA metabolic processes, DNA repair","Pioneer TFs","Ginno et al., 2018; Ugur et al., 2023","16.6","P53(P53 DNA-binding domain,PF00870)"
"undefinedTP63","Q9H3D4","Tumor protein 63","Nucleus (ECO:0000269)","Nucleoplasm (Enhanced)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","0.132","P53(P53 DNA-binding domain,PF00870);SAM_2(SAM domain (Sterile alpha motif),PF07647)"
"undefinedTP73","O15350","Tumor protein p73","Nucleus (ECO:0000269)","Golgi apparatus (Approved), Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs, DNA metabolic processes, DNA repair","Non-Housekeeping DNA-binding TFs","null","0.08","P53(P53 DNA-binding domain,PF00870);SAM_2(SAM domain (Sterile alpha motif),PF07647)"
"undefinedTPRX1","Q8N7U7","Tetra-peptide repeat homeobox protein 1","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","null"
"undefinedTPRX2","P0DV77","Tetrapeptide repeat homeobox protein 2","Nucleus (ECO:0000255)","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","null"
"undefinedTPRXL","Q17RH7","Putative protein TPRXL","null","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","null","null"
"undefinedTRPS1","Q9UHF7","Zinc finger transcription factor Trps1","Nucleus (ECO:0000269)","Nucleoplasm (Supported)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","Itzhak et al., 2016; Kustatscher et al., 2014; Ugur et al., 2023","17.9","GATA(GATA zinc finger,PF00320)"
"undefinedTRRAP","Q9Y4A5","Transformation/transcription domain-associated protein","Nucleus (ECO:0000269)","Golgi apparatus (Approved), Nucleoplasm (Supported)","nucleoplasm (annotations_grade_3)","Chromatin remodelers, DNA-templated transcription, Regulation of transcription, General TFs","General TFs","Alabert et al., 2014; Itzhak et al., 2016; Kustatscher et al., 2014; Shi et al., 2021; Torrente et al., 2011; Ugur et al., 2023","4.7","PI3_PI4_kinase(Phosphatidylinositol 3- and 4-kinase,PF00454)"
"undefinedTSHZ1","Q6ZSZ6","Teashirt homolog 1","Nucleus (ECO:0000305)","Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.123","null"
"undefinedTSHZ2","Q9NRE2","Teashirt homolog 2","Nucleus (ECO:0000305)","Golgi apparatus (Approved), Nucleoplasm (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","Kustatscher et al., 2014","0.193","null"
"undefinedTSHZ3","Q63HK5","Teashirt homolog 3","Growth cone (ECO:0000250), Nucleus (ECO:0000255), Nucleus (ECO:0000269)","Nucleoplasm (Enhanced), Plasma membrane (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","0.319","zf-C2H2_6(C2H2-type zinc finger,PF13912)"
"undefinedTSTD1","Q8NFU3","Thiosulfate:glutathione sulfurtransferase","Perinuclear region (ECO:0000269)","Cytoplasmic bodies (Approved), Cytosol (Approved)","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Housekeeping DNA-binding TFs","Housekeeping DNA-binding TFs","null","90.5","Rhodanese(Rhodanese-like domain,PF00581)"
"undefinedTWIST1","Q15672","Twist-related protein 1","null","null","null","DNA-templated transcription, Regulation of transcription, DNA-binding TFs, Non-Housekeeping DNA-binding TFs","Non-Housekeeping DNA-binding TFs","null","1.79","HLH(Helix-loop-helix DNA-binding domain,PF00010)"
